Front,Back,Tags
"What is econometrics?","Application of statistical methods to economic data. Formula: Econometrics = Economic Theory + Data + Statistics","L1 Foundations"
"What is the error term u and what does it contain?","Collects everything not in the model: omitted variables, unobservable factors, measurement error, random shocks, functional form imperfections","L1 Foundations"
"Correlation vs causation — why can't you infer causation from correlation?","Two variables can correlate because: A causes B, B causes A, both caused by C, or it's accidental. Need ceteris paribus + controlled variation to establish causation","L1 Foundations"
"What is ceteris paribus?","Holding all other relevant factors fixed. The core logic of regression — isolating the effect of one variable while controlling for others","L1 Foundations"
"Cross-sectional data","Observations on many different units at a single point in time. Example: wages of workers surveyed in 2024","L1 Data Types"
"Time series data","Observations on one or more variables over time. Example: GDP quarterly 2000–2024. Time order matters, serial correlation is a concern","L1 Data Types"
"Pooled cross-sectional data","Different units sampled at multiple time periods, then stacked. Units are NOT the same across periods. Example: household surveys from 1985 and 1990","L1 Data Types"
"Panel data","Same units observed across multiple time periods. Advantage: controls for unobserved time-invariant differences. Example: same firms tracked quarterly","L1 Data Types"
"Panel vs Pooled cross-section — key difference?","Panel = SAME units over time. Pooled cross-section = DIFFERENT units each period, stacked together","L1 Data Types"
"Simple random sampling","Every population member has equal probability of being selected","L1 Sampling"
"Systematic sampling","Select every k-th unit from an ordered list","L1 Sampling"
"Stratified sampling","Split population into subgroups (strata), then randomly sample within each group. Ensures all subgroups are represented","L1 Sampling"
"Cluster sampling","Randomly select entire groups (clusters); everyone inside is included. Differs from stratified: you sample groups, not within groups","L1 Sampling"
"Stratified vs Cluster sampling — key difference?","Stratified: groups predefined, sample WITHIN each group. Cluster: randomly select entire groups, include everyone inside","L1 Sampling"
"OLS formula for slope in simple regression","β̂₁ = Σ(xᵢ - x̄)(yᵢ - ȳ) / Σ(xᵢ - x̄)²","L2 Regression"
"OLS formula for intercept in simple regression","β̂₀ = ȳ - β̂₁x̄","L2 Regression"
"When does OLS fail to compute?","When there is no variation in X: Σ(xᵢ - x̄)² = 0. Also fails with perfect multicollinearity (X'X not invertible)","L2 Regression"
"Matrix formula for OLS in multiple regression","β̂ = (X'X)⁻¹X'y","L2 Regression"
"Zero conditional mean assumption","E(u|X) = 0. The average error does not depend on X. Critical for OLS to recover the ceteris paribus effect","L2 Regression"
"R² definition and interpretation","R² = 1 - SSR/SST. Fraction of sample variation in y explained by the model. Does NOT validate causality","L2 Regression"
"Adjusted R² — why use it over R²?","R² = 1 - [SSR/(n-k-1)] / [SST/(n-1)]. Penalizes unnecessary variables. R² never falls when adding regressors; adjusted R² can fall","L2 Regression"
"SST = SSE + SSR — what does each term mean?","SST = total variation in y. SSE = explained variation. SSR = unexplained variation (sum of squared residuals)","L2 Regression"
"Level-level model: formula and interpretation","y = β₀ + β₁x + u. One unit increase in x → β₁ unit change in y","L2 Functional Forms"
"Log-level model: formula and interpretation","log(y) = β₀ + β₁x + u. One unit increase in x → approximately 100β₁% change in y","L2 Functional Forms"
"Level-log model: formula and interpretation","y = β₀ + β₁log(x) + u. 1% increase in x → β₁/100 unit change in y","L2 Functional Forms"
"Log-log model: formula and interpretation","log(y) = β₀ + β₁log(x) + u. β₁ is an elasticity: 1% increase in x → β₁% change in y","L2 Functional Forms"
"If dependent variable is multiplied by constant c, what happens to coefficients?","Intercept and slope both multiplied by c","L2 Functional Forms"
"If independent variable is multiplied by constant c, what happens to its coefficient?","The slope is divided by c. Intercept unchanged","L2 Functional Forms"
"A1: Linearity in parameters — what does violation cause?","Model is misspecified. OLS estimates wrong functional form. Cannot apply standard OLS inference","L3 CLM Assumptions"
"A2: Random sampling — what does violation cause?","Serial correlation: error terms across observations are correlated. Standard errors are wrong, inference invalid","L3 CLM Assumptions"
"A3: No perfect multicollinearity — what does violation cause?","OLS cannot be computed. X'X is not invertible. Fix: drop one of the perfectly collinear variables","L3 CLM Assumptions"
"A4: Zero conditional mean — what does violation cause?","OLS coefficients are BIASED. Called endogeneity. Most common cause: omitted variable correlated with regressors","L3 CLM Assumptions"
"A5: Homoskedasticity — what does violation cause?","Coefficients remain UNBIASED. But standard errors are wrong → t-tests and p-values are invalid. Fix: robust standard errors","L3 CLM Assumptions"
"A6: Normality of errors — what does violation cause?","t and F tests invalid in small samples. In large samples, CLT saves you — normality less critical","L3 CLM Assumptions"
"Gauss-Markov theorem — what does it state?","Under A1-A5, OLS is BLUE: Best Linear Unbiased Estimator. Best = minimum variance among all linear unbiased estimators","L3 CLM Assumptions"
"Variance of OLS estimator β̂ⱼ","Var(β̂ⱼ) = σ² / [SSTⱼ(1 - Rⱼ²)]. Larger when: σ² large, little variation in xⱼ, or xⱼ highly correlated with other regressors","L3 CLM Assumptions"
"Variance Inflation Factor (VIF)","VIF_j = 1/(1 - Rⱼ²). Rule of thumb: VIF≈1 fine, 5-10 moderate concern, >10 serious concern","L3 CLM Assumptions"
"What does heteroskedasticity do to OLS?","Does NOT bias coefficients (A4 still holds). Invalidates standard errors → wrong t-stats and p-values. Fix: heteroskedasticity-robust SE","L3 CLM Assumptions"
"Breusch-Pagan test for heteroskedasticity","1. Estimate model, get residuals û². 2. Regress û² on regressors. 3. LM = nR². Under H₀ (homoskedasticity): LM ~ χ²_k. Reject if p-value small","L3 CLM Assumptions"
"Including irrelevant variables — effect on OLS?","Does NOT bias other coefficients. But reduces precision: inflates standard errors","L3 CLM Assumptions"
"Omitted variable bias — when does it occur?","When you omit a variable that: (1) affects y, AND (2) is correlated with included regressors. Violates A4","L3 CLM Assumptions"
"Omitted variable bias — direction formula","Bias direction = sign(β_omitted) × sign(corr(x_omitted, x_included))","L3 CLM Assumptions"
"Multicollinearity — what does it do?","Does NOT bias coefficients. Inflates standard errors → wider CIs → harder to find significance. Extreme case: perfect multicollinearity → OLS breaks","L3 CLM Assumptions"
"Multicollinearity vs Omitted Variable Bias — key difference?","Multicollinearity: both variables included, SE inflated, no bias. OVB: variable excluded, coefficients biased. Removing a variable to fix multicollinearity can cause OVB — cure worse than disease","L3 CLM Assumptions"
"What is a Type I error?","Rejecting H₀ when it is actually true. Probability = significance level α","L4 Hypothesis Testing"
"What is a Type II error?","Failing to reject H₀ when it is actually false","L4 Hypothesis Testing"
"t-statistic formula","t = (β̂ⱼ - aⱼ) / se(β̂ⱼ). For H₀: βⱼ = 0, simplifies to t = β̂ⱼ / se(β̂ⱼ)","L4 Hypothesis Testing"
"t-test rejection rules","Left-tailed: t_obs < -t_crit. Right-tailed: t_obs > t_crit. Two-tailed: |t_obs| > t_crit","L4 Hypothesis Testing"
"Degrees of freedom for t-test in regression","df = n - k - 1, where n = sample size, k = number of regressors","L4 Hypothesis Testing"
"p-value — precise definition","Probability of observing a test statistic as extreme or more extreme than what was observed, assuming H₀ is true. Reject H₀ if p-value < α","L4 Hypothesis Testing"
"t-test vs F-test — when to use each?","t-test: single coefficient restriction. F-test: one OR more simultaneous restrictions. t² = F when testing single restriction — t-test is a special case of F-test","L4 Hypothesis Testing"
"F-statistic formula","F = [(SSR_r - SSR_ur)/q] / [SSR_ur/(n-k-1)]. q = number of restrictions. Under H₀: F ~ F(q, n-k-1)","L4 Hypothesis Testing"
"Confidence interval interpretation","A 95% CI means: if we repeated sampling many times, 95% of constructed intervals would contain the true parameter β","L4 Hypothesis Testing"
"Dummy variable trap — what is it and how to fix?","Including dummies for ALL categories creates perfect multicollinearity (they sum to 1 = intercept). Fix: drop one category — it becomes the base group","L5 Further Issues"
"Base group in dummy variable regression","The omitted category. All dummy coefficients are interpreted relative to the base group, ceteris paribus","L5 Further Issues"
"Interpreting a dummy coefficient β_D","Average difference in y between group D and the base group, holding all other variables constant","L5 Further Issues"
"Perfect multicollinearity from a linear constraint — example and fix","If X1+X2+X3+X4=constant, one variable is exact linear combination of others. OLS breaks. Fix: drop one variable. Its coefficient is then absorbed into the intercept, and remaining coefficients are interpreted relative to the dropped variable","L5 Further Issues"
"Why is LPM (Linear Probability Model) problematic for binary outcomes?","1. Predicted probabilities can fall outside [0,1]. 2. Error term is heteroskedastic by construction. OLS is still unbiased but inference is problematic","L6 Binary Models"
"Logit model — what function does it use?","G(z) = exp(z)/(1+exp(z)) — the logistic function. Ensures P(y=1|x) ∈ (0,1)","L6 Binary Models"
"Probit model — what function does it use?","G(z) = Φ(z) — the standard normal CDF. Also ensures P(y=1|x) ∈ (0,1)","L6 Binary Models"
"Why can't you interpret logit/probit coefficients directly as probability changes?","Because G(·) is nonlinear. The effect of xⱼ on P(y=1) depends on the current values of all x. Use marginal effects or predicted probabilities instead","L6 Binary Models"
"How are logit/probit models estimated?","Maximum Likelihood Estimation (MLE), not OLS. MLE maximizes the log-likelihood: L(β) = Σ[yᵢlog G(xᵢβ) + (1-yᵢ)log(1-G(xᵢβ))]","L6 Binary Models"
"MLE large-sample properties","Consistent, asymptotically normal, asymptotically efficient","L6 Binary Models"
"Likelihood Ratio (LR) test","LR = 2(L_ur - L_r) ~ χ²_q under H₀. Used to test multiple restrictions in logit/probit. q = number of restrictions","L6 Binary Models"
"AUC = 0.5 vs AUC = 1.0","AUC=0.5: model no better than random guessing. AUC=1.0: perfect discrimination. Higher AUC = better ability to rank positives above negatives","L6 Binary Models"
"Confusion matrix — Sensitivity (Recall)","TPR = TP/(TP+FN). Among actual positives, how many did the model correctly identify?","L6 Binary Models"
"Confusion matrix — Specificity","TN/(TN+FP). Among actual negatives, how many did the model correctly identify?","L6 Binary Models"
"Confusion matrix — Precision","TP/(TP+FP). Among predicted positives, how many are actually positive?","L6 Binary Models"
"F1 Score","F1 = 2 × (Precision × Recall)/(Precision + Recall). Harmonic mean of precision and recall. Useful for imbalanced classes","L6 Binary Models"
"ROC curve — what does it plot?","TPR (sensitivity) on y-axis vs FPR (1-specificity) on x-axis, across all classification thresholds","L6 Binary Models"
"Precision-Recall tradeoff","Lower threshold → higher recall, lower precision. Higher threshold → lower recall, higher precision. Right balance depends on cost structure","L6 Binary Models"
"When to use PR curve over ROC?","When positive class is rare (imbalanced data). ROC can be misleadingly optimistic; PR curve better reflects minority class detection","L6 Binary Models"
"Pseudo R² in logit/probit","1 - L_ur/L₀, where L₀ is intercept-only log-likelihood. NOT the same as OLS R². Interpret cautiously — just a relative fit measure","L6 Binary Models"
"AIC formula and interpretation","AIC = -2L̂ + 2k. Lower is better. Penalizes model complexity. Use for model comparison, not absolute fit","L6 Binary Models"
"Serial correlation — definition","Corr(uᵢ, uⱼ) ≠ 0 for i ≠ j. Error terms across observations predict each other. Common in time series. Violates A2","L3 CLM Assumptions"
"No serial correlation assumption — formal statement","Corr(uᵢ, uⱼ) = 0 for ALL i ≠ j. One observation's error should not predict another's","L3 CLM Assumptions"
